State	Market	Zone
Kano	Wudil Cattle Market	North-West
Kano	Sabon Gari Livestock Section	North-West
Jigawa	Maigatari International Market	North-West
Jigawa	Birnin Kudu Market	North-West
Katsina	Sheme Cattle Market	North-West
Katsina	Funtua Market	North-West
Kaduna	Rigasa Livestock Market (Kaduna City)	North-West
Kaduna	Kawo Livestock Market (Kaduna City)	North-West
Kaduna	Zaria Central Livestock Market	North-West
Kaduna	Zango Cattle Market (Zaria)	North-West
Kaduna	Saminaka Livestock Market (Lere LGA)	North-West
Kaduna	Kagarko Livestock Market (Kagarko LGA)	North-West
Kaduna	Birnin Gwari Livestock Market	North-West
Kaduna	Kaduna South Abattoir Market Area	North-West
Kaduna	Station Market (Kaduna City)	North-West
Kaduna	Kasuwar Barci (Tudun Wada Market)	North-West
Sokoto	Sokoto Central Livestock Market	North-West
Sokoto	Illela Border Market	North-West
Kebbi	Birnin Kebbi Livestock Market	North-West
Zamfara	Gusau Livestock Market	North-West
Yobe	Potiskum Cattle Market	North-East
Yobe	Nguru Market	North-East
Yobe	Damaturu Livestock Market	North-East
Borno	Kasuwan Shanu – Maiduguri	North-East
Borno	Gamboru-Ngala Border Market	North-East
Adamawa	Mubi International Cattle Market	North-East
Adamawa	Yola Livestock Market	North-East
Gombe	International Gombe Market	North-East
Gombe	Kumo Cattle Market	North-East
Bauchi	Bauchi Central Livestock Market	North-East
Bauchi	Azare Market	North-East
Taraba	Iware Cattle Market	North-East
Taraba	Jalingo Livestock Market	North-East
FCT	Dei-Dei Livestock & Agricultural Market	North-Central
FCT	Karu Livestock Market	North-Central
FCT	Abaji Ram Market	North-Central
FCT	Kubwa / Nyanya Markets	North-Central
Kogi	Lokoja International Market	North-Central
Kogi	Anyigba / Idah Markets	North-Central
Kwara	Jebba Livestock Control Centre	North-Central
Kwara	Ilorin Livestock Market	North-Central
Nasarawa	Lafia Livestock Market	North-Central
Nasarawa	Keffi Market	North-Central
Niger	Minna Livestock Market	North-Central
Niger	Suleja Livestock Market	North-Central
Benue	Makurdi Cattle Market	North-Central
Benue	Gboko / Otukpo Markets	North-Central
Plateau	Jos Terminus / Bukuru Livestock Market	North-Central
Lagos	Kara Cattle Market (Berger / Isheri)	South-West
Lagos	Oko-Oba Abattoir & Livestock Market (Agege)	South-West
Lagos	Mile 12 Livestock & Agricultural Market (Kosofe)	South-West
Lagos	Badagry Expressway Livestock Market (Ojo / Orile axis)	South-West
Lagos	Ikorodu Livestock Market & Sabo Market	South-West
Lagos	Onyingbo Market (Yaba / Iddo axis)	South-West
Lagos	Odo Eran Market	South-West
Lagos	Matori Slaughter Slab (Mushin)	South-West
Lagos	Ilaje Abattoir Market (Bariga / Somolu)	South-West
Lagos	Epe Livestock Area (Epe Division)	South-West
Oyo	Bodija Market (Ibadan)	South-West
Oyo	Moniya Market (Ibadan)	South-West
Oyo	Sango Livestock Market	South-West
Ogun	Kuto Market (Abeokuta)	South-West
Ogun	Sagamu / Ogere Livestock Points	South-West
Osun	Oluode Market (Osogbo)	South-West
Ondo	Akure Livestock Market	South-West
Ekiti	Ado-Ekiti Livestock Market	South-West
Abia	Lokpanta (Umuchieze) Cattle Market	South-East
Abia	Nsulu Goat Market (Aba)	South-East
Abia	New Market (Aba)	South-East
Anambra	Amansea Cattle Market (Awka)	South-East
Anambra	Ochanja / Onitsha Markets	South-East
Anambra	Nkwo Nnewi Market	South-East
Enugu	Ogbete Main Market (Enugu)	South-East
Enugu	9th Mile Corner Market	South-East
Imo	Owerri Livestock Market	South-East
Imo	Okigwe Market	South-East
Ebonyi	Abakaliki Livestock Market	South-East
Rivers	Rumuola / Mile 3 Livestock Area (Port Harcourt)	South-South
Rivers	Rumuokwuta Market	South-South
Delta	Warri Livestock Market	South-South
Delta	Asaba Livestock Section	South-South
Edo	Oba Market Livestock Section (Benin City)	South-South
Edo	Ekpoma Market	South-South
Cross River	Marian Market Livestock Section (Calabar)	South-South
Cross River	Ikom / Ogoja Markets	South-South
Akwa Ibom	Uyo Livestock Market	South-South
Bayelsa	Yenagoa Livestock Market	South-South
